stage,model,path,n_classes,cv_accuracy_mean,cv_f1_mean,best_params,exported_at
stage1_super_pop,LogisticRegression,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage1_super_pop_LogisticRegression.pkl,5,0.9490798004987532,0.9372754949721223,"{'clf__C': np.float64(0.21618942406574443), 'clf__max_iter': 2000, 'clf__solver': 'saga'}",2026-03-02T23:44:06.899222
stage1_super_pop,RandomForest,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage1_super_pop_RandomForest.pkl,5,0.9445885286783042,0.9295910988479426,"{'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 249}",2026-03-02T23:44:06.988406
stage1_super_pop,GradientBoosting,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage1_super_pop_GradientBoosting.pkl,5,0.9485798004987531,0.9366227023729632,"{'learning_rate': np.float64(0.020731503556707363), 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 441, 'subsample': np.float64(0.8156249507619748)}",2026-03-02T23:44:07.026269
stage1_super_pop,XGBoost,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage1_super_pop_XGBoost.pkl,5,0.9460872817955112,0.9339170750868858,"{'colsample_bytree': np.float64(0.6479461469334731), 'learning_rate': np.float64(0.04989950617264592), 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 359, 'reg_alpha': np.float64(0.1188946976953047), 'reg_lambda': np.float64(0.648747706605868), 'subsample': np.float64(0.8090888807137881)}",2026-03-02T23:44:07.041915
stage1_super_pop,LightGBM,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage1_super_pop_LightGBM.pkl,5,0.9450885286783042,0.9321804787530772,"{'colsample_bytree': np.float64(0.7433862914177091), 'learning_rate': np.float64(0.027371751200935983), 'max_depth': -1, 'min_child_samples': 12, 'n_estimators': 467, 'num_leaves': 53, 'reg_alpha': np.float64(0.002407911195464457), 'reg_lambda': np.float64(0.030427972059571335), 'subsample': np.float64(0.9006523757990821)}",2026-03-02T23:44:07.148648
stage1_super_pop,CatBoost,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage1_super_pop_CatBoost.pkl,5,0.9505773067331671,0.9388100030635572,"{'bagging_temperature': np.float64(0.15599452033620265), 'border_count': 106, 'depth': 6, 'iterations': 287, 'l2_leaf_reg': np.float64(2.717470967305829), 'learning_rate': np.float64(0.029447905545150106)}",2026-03-02T23:44:07.153838
stage1_super_pop,NGBoost,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage1_super_pop_NGBoost.pkl,5,0.909643391521197,0.8927811254075492,"{'learning_rate': np.float64(0.07243365608351743), 'n_estimators': 434}",2026-03-02T23:44:07.485692
stage2_EAS_pop,LogisticRegression,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage2_EAS_pop_LogisticRegression.pkl,5,0.7295061728395061,0.7273692491503889,"{'clf__C': np.float64(0.017073967431528128), 'clf__max_iter': 2000, 'clf__solver': 'saga'}",2026-03-02T23:54:05.688906
stage2_EAS_pop,RandomForest,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage2_EAS_pop_RandomForest.pkl,5,0.7219753086419753,0.7204870168492494,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 252}",2026-03-02T23:54:05.781519
stage2_EAS_pop,GradientBoosting,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage2_EAS_pop_GradientBoosting.pkl,5,0.6947222222222222,0.6927531876733793,"{'learning_rate': np.float64(0.020731503556707363), 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 441, 'subsample': np.float64(0.8156249507619748)}",2026-03-02T23:54:05.887608
stage2_EAS_pop,XGBoost,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage2_EAS_pop_XGBoost.pkl,5,0.709537037037037,0.7055662422938481,"{'colsample_bytree': np.float64(0.7836995567863468), 'learning_rate': np.float64(0.049374393769437024), 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 508, 'reg_alpha': np.float64(7.579479953348009), 'reg_lambda': np.float64(2.1368329072358767), 'subsample': np.float64(0.7637017332034828)}",2026-03-02T23:54:05.915241
stage2_EAS_pop,LightGBM,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage2_EAS_pop_LightGBM.pkl,5,0.7070679012345679,0.7048901801594336,"{'colsample_bytree': np.float64(0.8347004662655393), 'learning_rate': np.float64(0.27306015052409605), 'max_depth': 10, 'min_child_samples': 17, 'n_estimators': 240, 'num_leaves': 48, 'reg_alpha': np.float64(1.6172900811143154), 'reg_lambda': np.float64(0.0019870215385428634), 'subsample': np.float64(0.9960660809801551)}",2026-03-02T23:54:05.921505
stage2_EAS_pop,CatBoost,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage2_EAS_pop_CatBoost.pkl,5,0.7319444444444445,0.7291928423238374,"{'bagging_temperature': np.float64(0.770967179954561), 'border_count': 58, 'depth': 4, 'iterations': 406, 'l2_leaf_reg': np.float64(3.5995125264172305), 'learning_rate': np.float64(0.02142521597283019)}",2026-03-02T23:54:05.925193
stage2_EAS_pop,NGBoost,/Users/khanhnq35/Documents/RESEARCH/BGA/models/stage2_EAS_pop_NGBoost.pkl,5,0.595462962962963,0.5883939490997403,"{'learning_rate': np.float64(0.0923915031962725), 'n_estimators': 541}",2026-03-02T23:54:06.342999
