dataset,method,accuracy,balanced_accuracy,mcc,f1_macro,f1_weighted,fit_time_sec,f1_0,f1_1,f1_2,f1_3,f1_4,roc_auc_macro,auc_0,auc_1,auc_2,auc_3,auc_4
Continental (super_pop),GA-SVM,0.9540918163672655,0.9443942841489118,0.9420621706301038,0.9447835010583443,0.9539360007030957,220.03201293945312,0.9849624060150376,0.8405797101449275,0.9901960784313726,0.9651741293532339,0.9430051813471503,0.9947633876365984,0.9997946949166462,0.9795356951154052,1.0,0.9964108910891089,0.9980756570618323
Continental (super_pop),SVD-MLP-Adv,0.9700598802395209,0.9626471165306416,0.962290954188769,0.9635958379970226,0.9699900182598395,5.866743087768555,0.9924812030075187,0.8905109489051095,1.0,0.9611650485436893,0.9738219895287958,0.9969855181528438,0.9999178779666584,0.9881910896403651,1.0,0.99740099009901,0.999417633058186
Continental (super_pop),DietNetworks,0.9281437125748503,0.9045326094277574,0.9100073222311423,0.9070315252599614,0.9239966737339231,13.29806399345398,0.9887640449438202,0.7166666666666667,0.9569377990430622,0.9238095238095239,0.9489795918367347,0.9903713427620872,0.9990555966165722,0.9614197530864198,0.9991336633663367,0.9935643564356436,0.998683344305464
Continental (super_pop),popVAE,0.9700598802395209,0.9627077348373702,0.9622193862718358,0.963535309833252,0.9699273824377558,8.4180908203125,0.9924812030075187,0.8905109489051095,0.9950738916256158,0.9655172413793104,0.9740932642487047,0.9980249633117309,0.9999589389833292,0.9929884594739669,1.0,0.9983168316831682,0.9988605864181902
Continental (super_pop),FederatedMLP,0.9680638722554891,0.9593558779125473,0.9597956708440895,0.9609645160371316,0.9677036581335591,11.960178136825562,0.9886792452830189,0.8805970149253731,0.9901960784313726,0.966183574879227,0.9791666666666666,0.997371446777033,0.9998562864416523,0.9898684916800858,1.0,0.9980693069306931,0.9990631488327341
EastAsia (pop),GA-SVM,0.6534653465346535,0.6550793650793652,0.5699024725941813,0.6461853832442068,0.6467332027320379,54.89175081253052,0.6666666666666666,0.55,0.6666666666666666,0.8181818181818182,0.5294117647058824,0.9169786022396463,0.9384203480589023,0.8839285714285714,0.9101190476190475,0.9845238095238096,0.8679012345679012
EastAsia (pop),SVD-MLP-Adv,0.7029702970297029,0.704920634920635,0.6374046601326553,0.6849016480595427,0.6862838915470495,1.4974722862243652,0.7111111111111111,0.631578947368421,0.6818181818181818,0.9333333333333333,0.4666666666666667,0.9362719130490215,0.9397590361445783,0.925,0.9184523809523809,1.0,0.8981481481481481
EastAsia (pop),DietNetworks,0.5544554455445545,0.5582539682539683,0.4453721764743029,0.5539220941659966,0.5531252736637909,1.5545375347137451,0.6190476190476191,0.4,0.46153846153846156,0.85,0.43902439024390244,0.8409913197764602,0.8848728246318607,0.8017857142857143,0.7886904761904763,0.9505952380952382,0.7790123456790123
EastAsia (pop),popVAE,0.7623762376237624,0.7625396825396825,0.7107061557501638,0.7485522415341455,0.7519655742128107,1.604884147644043,0.7111111111111111,0.8292682926829268,0.7317073170731707,0.9545454545454546,0.5161290322580645,0.9483853934255541,0.9477911646586346,0.9553571428571428,0.9369047619047619,0.9994047619047619,0.9024691358024691
EastAsia (pop),FederatedMLP,0.7623762376237624,0.7609523809523809,0.7089592066196957,0.7527257056668821,0.7580753550468169,3.692246675491333,0.6666666666666666,0.8571428571428571,0.7692307692307693,1.0,0.47058823529411764,0.9448926924629737,0.9364123159303881,0.9630952380952381,0.9261904761904762,1.0,0.8987654320987654
